Date,Price,Open,High,Low,Vol.,Change %
Aug-14,"5,625.90","5,632.90","5,679.50","5,425.20",12.63B,-0.12%
Sep-14,"5,292.80","5,625.90","5,672.70","5,253.10",13.02B,-5.92%
Oct-14,"5,526.60","5,292.80","5,526.60","5,122.00",14.41B,4.42%
Nov-14,"5,313.00","5,526.60","5,550.30","5,292.90",11.45B,-3.86%
Dec-14,"5,411.00","5,313.00","5,486.70","5,142.80",13.20B,1.84%
Jan-15,"5,588.30","5,411.00","5,619.50","5,267.40",11.71B,3.28%
Feb-15,"5,928.80","5,588.30","5,955.50","5,588.30",14.49B,6.09%
Mar-15,"5,891.50","5,928.80","5,996.90","5,748.70",15.21B,-0.63%
Apr-15,"5,790.00","5,891.50","5,996.40","5,749.90",11.18B,-1.72%
May-15,"5,777.20","5,790.00","5,901.80","5,574.60",13.17B,-0.22%
Jun-15,"5,459.00","5,777.20","5,777.20","5,390.50",14.04B,-5.51%
Jul-15,"5,699.20","5,455.40","5,718.90","5,383.70",12.86B,4.40%
Aug-15,"5,207.00","5,699.20","5,727.70","4,928.30",15.46B,-8.64%
Sep-15,"5,021.60","5,207.00","5,221.10","4,918.40",16.09B,-3.56%
Oct-15,"5,239.40","5,021.70","5,384.80","5,021.70",12.94B,4.34%
Nov-15,"5,166.50","5,239.40","5,313.70","4,979.20",13.83B,-1.39%
Dec-15,"5,295.90","5,166.50","5,325.80","4,909.60",13.50B,2.50%
Jan-16,"5,005.50","5,295.90","5,331.40","4,803.90",11.39B,-5.48%
Feb-16,"4,880.90","5,005.50","5,073.00","4,706.70",14.98B,-2.49%
Mar-16,"5,082.80","4,880.90","5,216.20","4,868.10",14.68B,4.14%
Apr-16,"5,252.20","5,082.80","5,281.60","4,893.50",11.62B,3.33%
May-16,"5,378.60","5,252.20","5,427.70","5,182.20",13.76B,2.41%
Jun-16,"5,233.40","5,378.60","5,392.50","5,051.00",13.81B,-2.70%
Jul-16,"5,562.40","5,233.40","5,570.40","5,148.70",11.52B,6.29%
Aug-16,"5,433.00","5,562.40","5,611.20","5,412.60",13.19B,-2.33%
Sep-16,"5,435.90","5,433.00","5,473.30","5,192.20",13.84B,0.05%
Oct-16,"5,317.70","5,435.90","5,498.00","5,261.40",12.20B,-2.17%
Nov-16,"5,440.50","5,317.70","5,520.90","5,052.10",15.05B,2.31%
Dec-16,"5,665.80","5,440.50","5,699.10","5,383.80",12.49B,4.14%
Jan-17,"5,620.90","5,667.40","5,827.50","5,604.30",10.58B,-0.79%
Feb-17,"5,712.20","5,620.90","5,833.20","5,582.70",13.23B,1.62%
Mar-17,"5,864.90","5,712.20","5,901.50","5,675.00",15.41B,2.67%
Apr-17,"5,924.10","5,864.90","5,950.10","5,790.60",10.54B,1.01%
May-17,"5,724.60","5,924.10","5,956.50","5,679.80",15.25B,-3.37%
Jun-17,"5,721.50","5,724.60","5,836.40","5,629.80",14.72B,-0.05%
Jul-17,"5,720.60","5,721.50","5,799.60","5,653.30",11.80B,-0.02%
Aug-17,"5,714.50","5,720.60","5,806.30","5,645.80",13.92B,-0.11%
Sep-17,"5,681.60","5,714.50","5,777.70","5,639.40",11.07B,-0.58%
Oct-17,"5,909.00","5,681.60","5,938.10","5,650.90",10.92B,4.00%
Nov-17,"5,969.90","5,909.00","6,052.10","5,909.00",11.78B,1.03%
Dec-17,"6,065.10","5,969.90","6,092.80","5,938.70",10.43B,1.59%
Jan-18,"6,037.70","6,065.10","6,150.00","5,991.90",9.76B,-0.45%
Feb-18,"6,016.00","6,037.70","6,121.40","5,786.80",12.88B,-0.36%
Mar-18,"5,759.40","6,016.00","6,026.10","5,752.70",12.35B,-4.27%
Apr-18,"5,982.70","5,759.40","5,991.10","5,724.80",9.95B,3.88%
May-18,"6,011.90","5,982.70","6,146.80","5,964.10",13.30B,0.49%
Jun-18,"6,194.60","6,011.90","6,250.80","5,972.00",12.08B,3.04%
Jul-18,"6,280.20","6,194.60","6,306.10","6,174.40",11.14B,1.38%
Aug-18,"6,319.50","6,280.20","6,373.50","6,230.90",13.82B,0.63%
Sep-18,"6,207.60","6,319.50","6,333.70","6,102.00",12.07B,-1.77%
Oct-18,"5,830.30","6,207.60","6,207.60","5,624.60",14.01B,-6.08%
Nov-18,"5,667.20","5,830.30","5,941.30","5,594.00",13.85B,-2.80%
Dec-18,"5,646.40","5,667.20","5,771.20","5,410.20",12.46B,-0.37%
Jan-19,"5,864.70","5,646.40","5,915.20","5,552.00",10.83B,3.87%
Feb-19,"6,169.00","5,864.70","6,191.10","5,848.90",13.71B,5.19%
Mar-19,"6,180.70","6,169.00","6,270.90","6,096.80",14.42B,0.19%
Apr-19,"6,325.50","6,180.70","6,390.50","6,169.80",10.47B,2.34%
