,ASX
2011-10-24,3.1644389629364014
2011-10-25,3.1644389629364014
2011-10-26,3.143296241760254
2011-10-27,3.263108015060425
2011-10-28,3.1644389629364014
2011-10-31,3.115105628967285
2011-11-01,3.1644389629364014
2011-11-02,3.20672607421875
2011-11-03,3.1855831146240234
2011-11-04,3.333585262298584
2011-11-07,3.36177659034729
2011-11-08,3.333585262298584
2011-11-09,3.1362485885620117
2011-11-10,3.1362485885620117
2011-11-11,3.3194901943206787
2011-11-14,3.2772035598754883
2011-11-15,3.3194901943206787
2011-11-16,3.2560598850250244
2011-11-17,3.178535223007202
2011-11-18,3.1292011737823486
2011-11-21,3.1010096073150635
2011-11-22,3.199678421020508
2011-11-23,3.0657711029052734
2011-11-25,3.0587234497070312
2011-11-28,3.199678421020508
2011-11-29,3.178535223007202
2011-11-30,3.171487331390381
2011-12-01,3.3406333923339844
2011-12-02,3.305394411087036
2011-12-05,3.333585262298584
2011-12-06,3.2560598850250244
2011-12-07,3.2842507362365723
2011-12-08,3.1855831146240234
2011-12-09,3.2208218574523926
2011-12-12,3.178535223007202
2011-12-13,3.199678421020508
2011-12-14,3.0587234497070312
2011-12-15,2.9459593296051025
2011-12-16,3.0375797748565674
2011-12-19,2.89662504196167
2011-12-20,2.9459593296051025
2011-12-21,3.0657711029052734
2011-12-22,3.1292011737823486
2011-12-23,3.178535223007202
2011-12-27,3.0939619541168213
2011-12-28,3.0446279048919678
2011-12-29,3.0728187561035156
2011-12-30,3.0587234497070312
2012-01-03,3.0798661708831787
2012-01-04,3.1080574989318848
2012-01-05,3.1926307678222656
2012-01-06,3.199678421020508
2012-01-09,3.2278692722320557
2012-01-10,3.3406333923339844
2012-01-11,3.3124420642852783
2012-01-12,3.36177659034729
2012-01-13,3.298346519470215
2012-01-17,3.3194901943206787
2012-01-18,3.382920026779175
2012-01-19,3.580256462097168
2012-01-20,3.6436867713928223
2012-01-23,3.664829730987549
2012-01-24,3.6225433349609375
2012-01-25,3.629591226577759
2012-01-26,3.5591139793395996
2012-01-27,3.5873045921325684
2012-01-30,3.6577820777893066
2012-01-31,3.7141642570495605
2012-02-01,3.70711612701416
2012-02-02,3.2772035598754883
2012-02-03,3.3265371322631836
2012-02-06,3.4252066612243652
2012-02-07,3.5027315616607666
2012-02-08,3.481588125228882
2012-02-09,3.488635778427124
2012-02-10,3.3758718967437744
2012-02-13,3.4252066612243652
2012-02-14,3.404062509536743
2012-02-15,3.488635778427124
2012-02-16,3.545018196105957
2012-02-17,3.51682710647583
2012-02-21,3.4745402336120605
2012-02-22,3.453397512435913
2012-02-23,3.411111354827881
2012-02-24,3.411111354827881
2012-02-27,3.4252066612243652
2012-02-28,3.4252066612243652
2012-02-29,3.4393019676208496
2012-03-01,3.382920026779175
2012-03-02,3.4252066612243652
2012-03-05,3.3124420642852783
2012-03-06,3.234916925430298
2012-03-07,3.3476810455322266
